,Authors,project_urls
0,mrdoob,https://github.com/topics/3d/mrdoob/three.js
1,pmndrs,https://github.com/topics/3d/pmndrs/react-three-fiber
2,libgdx,https://github.com/topics/3d/libgdx/libgdx
3,BabylonJS,https://github.com/topics/3d/BabylonJS/Babylon.js
4,ssloy,https://github.com/topics/3d/ssloy/tinyrenderer
5,aframevr,https://github.com/topics/3d/aframevr/aframe
6,lettier,https://github.com/topics/3d/lettier/3d-game-shaders-for-beginners
7,FreeCAD,https://github.com/topics/3d/FreeCAD/FreeCAD
8,CesiumGS,https://github.com/topics/3d/CesiumGS/cesium
9,metafizzy,https://github.com/topics/3d/metafizzy/zdog
10,timzhang642,https://github.com/topics/3d/timzhang642/3D-Machine-Learning
11,isl-org,https://github.com/topics/3d/isl-org/Open3D
12,blender,https://github.com/topics/3d/blender/blender
13,a1studmuffin,https://github.com/topics/3d/a1studmuffin/SpaceshipGenerator
14,domlysz,https://github.com/topics/3d/domlysz/BlenderGIS
15,FyroxEngine,https://github.com/topics/3d/FyroxEngine/Fyrox
16,openscad,https://github.com/topics/3d/openscad/openscad
17,google,https://github.com/topics/3d/google/model-viewer
18,spritejs,https://github.com/topics/3d/spritejs/spritejs
19,jagenjo,https://github.com/topics/3d/jagenjo/webglstudio.js
