,Authors,project_urls
0,public-apis,https://github.com/topics/api/public-apis/public-apis
1,neovim,https://github.com/topics/api/neovim/neovim
2,tiangolo,https://github.com/topics/api/tiangolo/fastapi
3,strapi,https://github.com/topics/api/strapi/strapi
4,hoppscotch,https://github.com/topics/api/hoppscotch/hoppscotch
5,ocornut,https://github.com/topics/api/ocornut/imgui
6,meilisearch,https://github.com/topics/api/meilisearch/meilisearch
7,slatedocs,https://github.com/topics/api/slatedocs/slate
8,hasura,https://github.com/topics/api/hasura/graphql-engine
9,ccxt,https://github.com/topics/api/ccxt/ccxt
10,Kong,https://github.com/topics/api/Kong/insomnia
11,Binaryify,https://github.com/topics/api/Binaryify/NeteaseCloudMusicApi
12,httpie,https://github.com/topics/api/httpie/httpie
13,YMFE,https://github.com/topics/api/YMFE/yapi
14,encode,https://github.com/topics/api/encode/django-rest-framework
15,trpc,https://github.com/topics/api/trpc/trpc
16,littlecodersh,https://github.com/topics/api/littlecodersh/ItChat
17,directus,https://github.com/topics/api/directus/directus
18,microsoft,https://github.com/topics/api/microsoft/api-guidelines
19,paularmstrong,https://github.com/topics/api/paularmstrong/normalizr
