,Authors,project_urls
0,bitwarden,https://github.com/topics/aspnet/bitwarden/server
1,dotnet,https://github.com/topics/aspnet/dotnet/AspNetCore.Docs
2,aspnetboilerplate,https://github.com/topics/aspnet/aspnetboilerplate/aspnetboilerplate
3,abpframework,https://github.com/topics/aspnet/abpframework/abp
4,nopSolutions,https://github.com/topics/aspnet/nopSolutions/nopCommerce
5,ElectronNET,https://github.com/topics/aspnet/ElectronNET/Electron.NET
6,thangchung,https://github.com/topics/aspnet/thangchung/clean-code-dotnet
7,RicoSuter,https://github.com/topics/aspnet/RicoSuter/NSwag
8,FastEndpoints,https://github.com/topics/aspnet/FastEndpoints/FastEndpoints
9,dotnet,https://github.com/topics/aspnet/dotnet/aspnet-api-versioning
10,smartstore,https://github.com/topics/aspnet/smartstore/SmartStoreNET
11,JimBobSquarePants,https://github.com/topics/aspnet/JimBobSquarePants/ImageProcessor
12,serenity-is,https://github.com/topics/aspnet/serenity-is/Serenity
13,loic-sharma,https://github.com/topics/aspnet/loic-sharma/BaGet
14,mjebrahimi,https://github.com/topics/aspnet/mjebrahimi/Awesome-Microservices-DotNet
15,TrilonIO,https://github.com/topics/aspnet/TrilonIO/aspnetcore-angular-universal
16,TrilonIO,https://github.com/topics/aspnet/TrilonIO/aspnetcore-Vue-starter
17,MarimerLLC,https://github.com/topics/aspnet/MarimerLLC/csla
18,antonioCoco,https://github.com/topics/aspnet/antonioCoco/SharPyShell
19,riganti,https://github.com/topics/aspnet/riganti/dotvvm
