,Authors,project_urls
0,localstack,https://github.com/topics/aws/localstack/localstack
1,serverless,https://github.com/topics/aws/serverless/serverless
2,bregman-arie,https://github.com/topics/aws/bregman-arie/devops-exercises
3,donnemartin,https://github.com/topics/aws/donnemartin/data-science-ipython-notebooks
4,pulumi,https://github.com/topics/aws/pulumi/pulumi
5,ramitsurana,https://github.com/topics/aws/ramitsurana/awesome-kubernetes
6,kubernetes-sigs,https://github.com/topics/aws/kubernetes-sigs/kubespray
7,serverless-stack,https://github.com/topics/aws/serverless-stack/sst
8,aws,https://github.com/topics/aws/aws/aws-cli
9,mozilla,https://github.com/topics/aws/mozilla/sops
10,donnemartin,https://github.com/topics/aws/donnemartin/awesome-aws
11,caprover,https://github.com/topics/aws/caprover/caprover
12,aws,https://github.com/topics/aws/aws/aws-cdk
13,apereo,https://github.com/topics/aws/apereo/cas
14,GoogleCloudPlatform,https://github.com/topics/aws/GoogleCloudPlatform/terraformer
15,aws,https://github.com/topics/aws/aws/chalice
16,aws-amplify,https://github.com/topics/aws/aws-amplify/amplify-js
17,aws,https://github.com/topics/aws/aws/serverless-application-model
18,google,https://github.com/topics/aws/google/go-cloud
19,infracost,https://github.com/topics/aws/infracost/infracost
