,Authors,project_urls
0,flutter,https://github.com/topics/android/flutter/flutter
1,facebook,https://github.com/topics/android/facebook/react-native
2,justjavac,https://github.com/topics/android/justjavac/free-programming-books-zh_CN
3,Genymobile,https://github.com/topics/android/Genymobile/scrcpy
4,Hack-with-Github,https://github.com/topics/android/Hack-with-Github/Awesome-Hacking
5,google,https://github.com/topics/android/google/material-design-icons
6,Solido,https://github.com/topics/android/Solido/awesome-flutter
7,wasabeef,https://github.com/topics/android/wasabeef/awesome-android-ui
8,square,https://github.com/topics/android/square/okhttp
9,android,https://github.com/topics/android/android/architecture-samples
10,square,https://github.com/topics/android/square/retrofit
11,dcloudio,https://github.com/topics/android/dcloudio/uni-app
12,fastlane,https://github.com/topics/android/fastlane/fastlane
13,PhilJay,https://github.com/topics/android/PhilJay/MPAndroidChart
14,laurent22,https://github.com/topics/android/laurent22/joplin
15,skylot,https://github.com/topics/android/skylot/jadx
16,airbnb,https://github.com/topics/android/airbnb/lottie-android
17,shadowsocks,https://github.com/topics/android/shadowsocks/shadowsocks-android
18,bumptech,https://github.com/topics/android/bumptech/glide
19,xitu,https://github.com/topics/android/xitu/gold-miner
