,Authors,project_urls
0,justjavac,https://github.com/topics/angular/justjavac/free-programming-books-zh_CN
1,angular,https://github.com/topics/angular/angular/angular
2,storybookjs,https://github.com/topics/angular/storybookjs/storybook
3,leonardomso,https://github.com/topics/angular/leonardomso/33-js-concepts
4,ionic-team,https://github.com/topics/angular/ionic-team/ionic-framework
5,prettier,https://github.com/topics/angular/prettier/prettier
6,Asabeneh,https://github.com/topics/angular/Asabeneh/30-Days-Of-JavaScript
7,SheetJS,https://github.com/topics/angular/SheetJS/sheetjs
8,angular,https://github.com/topics/angular/angular/angular-cli
9,angular,https://github.com/topics/angular/angular/components
10,NativeScript,https://github.com/topics/angular/NativeScript/NativeScript
11,goldbergyoni,https://github.com/topics/angular/goldbergyoni/javascript-testing-best-practices
12,jhipster,https://github.com/topics/angular/jhipster/generator-jhipster
13,pubkey,https://github.com/topics/angular/pubkey/rxdb
14,nrwl,https://github.com/topics/angular/nrwl/nx
15,teambit,https://github.com/topics/angular/teambit/bit
16,sweetalert2,https://github.com/topics/angular/sweetalert2/sweetalert2
17,sudheerj,https://github.com/topics/angular/sudheerj/javascript-interview-questions
18,wailsapp,https://github.com/topics/angular/wailsapp/wails
19,codesandbox,https://github.com/topics/angular/codesandbox/codesandbox-client
