,Authors,project_urls
0,ansible,https://github.com/topics/ansible/ansible/ansible
1,bregman-arie,https://github.com/topics/ansible/bregman-arie/devops-exercises
2,trailofbits,https://github.com/topics/ansible/trailofbits/algo
3,StreisandEffect,https://github.com/topics/ansible/StreisandEffect/streisand
4,MichaelCade,https://github.com/topics/ansible/MichaelCade/90DaysOfDevOps
5,kubernetes-sigs,https://github.com/topics/ansible/kubernetes-sigs/kubespray
6,ansible,https://github.com/topics/ansible/ansible/awx
7,easzlab,https://github.com/topics/ansible/easzlab/kubeasz
8,geerlingguy,https://github.com/topics/ansible/geerlingguy/ansible-for-devops
9,khuedoan,https://github.com/topics/ansible/khuedoan/homelab
10,Tikam02,https://github.com/topics/ansible/Tikam02/DevOps-Guide
11,ansible-semaphore,https://github.com/topics/ansible/ansible-semaphore/semaphore
12,geerlingguy,https://github.com/topics/ansible/geerlingguy/mac-dev-playbook
13,rundeck,https://github.com/topics/ansible/rundeck/rundeck
14,KubeOperator,https://github.com/topics/ansible/KubeOperator/KubeOperator
15,clong,https://github.com/topics/ansible/clong/DetectionLab
16,netbootxyz,https://github.com/topics/ansible/netbootxyz/netboot.xyz
17,litmuschaos,https://github.com/topics/ansible/litmuschaos/litmus
18,ansible-community,https://github.com/topics/ansible/ansible-community/molecule
19,opendevops-cn,https://github.com/topics/ansible/opendevops-cn/opendevops
