,Authors,project_urls
0,arendst,https://github.com/topics/arduino/arendst/Tasmota
1,MarlinFirmware,https://github.com/topics/arduino/MarlinFirmware/Marlin
2,arduino,https://github.com/topics/arduino/arduino/Arduino
3,rwaldron,https://github.com/topics/arduino/rwaldron/johnny-five
4,tinygo-org,https://github.com/topics/arduino/tinygo-org/tinygo
5,SpacehuhnTech,https://github.com/topics/arduino/SpacehuhnTech/esp8266_deauther
6,espressif,https://github.com/topics/arduino/espressif/arduino-esp32
7,gurugio,https://github.com/topics/arduino/gurugio/lowlevelprogramming-university
8,hybridgroup,https://github.com/topics/arduino/hybridgroup/gobot
9,platformio,https://github.com/topics/arduino/platformio/platformio-core
10,bblanchon,https://github.com/topics/arduino/bblanchon/ArduinoJson
11,tzapu,https://github.com/topics/arduino/tzapu/WiFiManager
12,hybridgroup,https://github.com/topics/arduino/hybridgroup/cylon
13,Arduino-IRremote,https://github.com/topics/arduino/Arduino-IRremote/Arduino-IRremote
14,arduino,https://github.com/topics/arduino/arduino/arduino-cli
15,olikraus,https://github.com/topics/arduino/olikraus/u8g2
16,blynkkk,https://github.com/topics/arduino/blynkkk/blynk-library
17,ClemensElflein,https://github.com/topics/arduino/ClemensElflein/OpenMower
18,NerdLang,https://github.com/topics/arduino/NerdLang/nerd
19,Serial-Studio,https://github.com/topics/arduino/Serial-Studio/Serial-Studio
