,Authors,project_urls
0,sindresorhus,https://github.com/topics/awesome/sindresorhus/awesome
1,vinta,https://github.com/topics/awesome/vinta/awesome-python
2,awesome-selfhosted,https://github.com/topics/awesome/awesome-selfhosted/awesome-selfhosted
3,avelino,https://github.com/topics/awesome/avelino/awesome-go
4,trimstray,https://github.com/topics/awesome/trimstray/the-book-of-secret-knowledge
5,papers-we-love,https://github.com/topics/awesome/papers-we-love/papers-we-love
6,521xueweihan,https://github.com/topics/awesome/521xueweihan/HelloGitHub
7,Hack-with-Github,https://github.com/topics/awesome/Hack-with-Github/Awesome-Hacking
8,jaywcjlove,https://github.com/topics/awesome/jaywcjlove/awesome-mac
9,enaqx,https://github.com/topics/awesome/enaqx/awesome-react
10,DopplerHQ,https://github.com/topics/awesome/DopplerHQ/awesome-interview-questions
11,sindresorhus,https://github.com/topics/awesome/sindresorhus/awesome-nodejs
12,MunGell,https://github.com/topics/awesome/MunGell/awesome-for-beginners
13,prakhar1989,https://github.com/topics/awesome/prakhar1989/awesome-courses
14,Solido,https://github.com/topics/awesome/Solido/awesome-flutter
15,wasabeef,https://github.com/topics/awesome/wasabeef/awesome-android-ui
16,fffaraz,https://github.com/topics/awesome/fffaraz/awesome-cpp
17,binhnguyennus,https://github.com/topics/awesome/binhnguyennus/awesome-scalability
18,vsouza,https://github.com/topics/awesome/vsouza/awesome-ios
19,tiimgreen,https://github.com/topics/awesome/tiimgreen/github-cheat-sheet
