,Authors,project_urls
0,bregman-arie,https://github.com/topics/azure/bregman-arie/devops-exercises
1,pulumi,https://github.com/topics/azure/pulumi/pulumi
2,microsoft,https://github.com/topics/azure/microsoft/recommenders
3,ramitsurana,https://github.com/topics/azure/ramitsurana/awesome-kubernetes
4,Azure,https://github.com/topics/azure/Azure/azure-quickstart-templates
5,mozilla,https://github.com/topics/azure/mozilla/sops
6,caprover,https://github.com/topics/azure/caprover/caprover
7,google,https://github.com/topics/azure/google/go-cloud
8,infracost,https://github.com/topics/azure/infracost/infracost
9,microsoft,https://github.com/topics/azure/microsoft/computervision-recipes
10,prowler-cloud,https://github.com/topics/azure/prowler-cloud/prowler
11,microsoft,https://github.com/topics/azure/microsoft/azuredatastudio
12,node-formidable,https://github.com/topics/azure/node-formidable/formidable
13,Netflix,https://github.com/topics/azure/Netflix/metaflow
14,midwayjs,https://github.com/topics/azure/midwayjs/midway
15,thangchung,https://github.com/topics/azure/thangchung/clean-code-dotnet
16,aquasecurity,https://github.com/topics/azure/aquasecurity/tfsec
17,budtmo,https://github.com/topics/azure/budtmo/docker-android
18,bridgecrewio,https://github.com/topics/azure/bridgecrewio/checkov
19,nccgroup,https://github.com/topics/azure/nccgroup/ScoutSuite
