,Authors,project_urls
0,babel,https://github.com/topics/babel/babel/babel
1,swc-project,https://github.com/topics/babel/swc-project/swc
2,nylas,https://github.com/topics/babel/nylas/nylas-mail
3,electron-react-boilerplate,https://github.com/topics/babel/electron-react-boilerplate/electron-react-boilerplate
4,avajs,https://github.com/topics/babel/avajs/ava
5,SimulatedGREG,https://github.com/topics/babel/SimulatedGREG/electron-vue
6,grab,https://github.com/topics/babel/grab/front-end-guide
7,jamiebuilds,https://github.com/topics/babel/jamiebuilds/babel-handbook
8,grommet,https://github.com/topics/babel/grommet/grommet
9,developit,https://github.com/topics/babel/developit/htm
10,ben-rogerson,https://github.com/topics/babel/ben-rogerson/twin.macro
11,angular-fullstack,https://github.com/topics/babel/angular-fullstack/generator-angular-fullstack
12,documentationjs,https://github.com/topics/babel/documentationjs/documentation
13,insin,https://github.com/topics/babel/insin/nwb
14,fkling,https://github.com/topics/babel/fkling/astexplorer
15,thinkjs,https://github.com/topics/babel/thinkjs/thinkjs
16,egoist,https://github.com/topics/babel/egoist/poi
17,transitive-bullshit,https://github.com/topics/babel/transitive-bullshit/create-react-library
18,duxianwei520,https://github.com/topics/babel/duxianwei520/react
19,babel,https://github.com/topics/babel/babel/babel-loader
