,Authors,project_urls
0,jlevy,https://github.com/topics/bash/jlevy/the-art-of-command-line
1,nvm-sh,https://github.com/topics/bash/nvm-sh/nvm
2,junegunn,https://github.com/topics/bash/junegunn/fzf
3,google,https://github.com/topics/bash/google/zx
4,starship,https://github.com/topics/bash/starship/starship
5,dylanaraps,https://github.com/topics/bash/dylanaraps/pure-bash-bible
6,LeCoupa,https://github.com/topics/bash/LeCoupa/awesome-cheatsheets
7,koalaman,https://github.com/topics/bash/koalaman/shellcheck
8,acmesh-official,https://github.com/topics/bash/acmesh-official/acme.sh
9,mathiasbynens,https://github.com/topics/bash/mathiasbynens/dotfiles
10,alebcay,https://github.com/topics/bash/alebcay/awesome-shell
11,jaywcjlove,https://github.com/topics/bash/jaywcjlove/linux-command
12,withfig,https://github.com/topics/bash/withfig/autocomplete
13,dylanaraps,https://github.com/topics/bash/dylanaraps/neofetch
14,asdf-vm,https://github.com/topics/bash/asdf-vm/asdf
15,Nyr,https://github.com/topics/bash/Nyr/openvpn-install
16,rbenv,https://github.com/topics/bash/rbenv/rbenv
17,faressoft,https://github.com/topics/bash/faressoft/terminalizer
18,kingToolbox,https://github.com/topics/bash/kingToolbox/WindTerm
19,shelljs,https://github.com/topics/bash/shelljs/shelljs
