,Authors,project_urls
0,bitcoin,https://github.com/topics/bitcoin/bitcoin/bitcoin
1,ccxt,https://github.com/topics/bitcoin/ccxt/ccxt
2,freqtrade,https://github.com/topics/bitcoin/freqtrade/freqtrade
3,HelloZeroNet,https://github.com/topics/bitcoin/HelloZeroNet/ZeroNet
4,solana-labs,https://github.com/topics/bitcoin/solana-labs/solana
5,askmike,https://github.com/topics/bitcoin/askmike/gekko
6,bbfamily,https://github.com/topics/bitcoin/bbfamily/abu
7,dvf,https://github.com/topics/bitcoin/dvf/blockchain
8,lbryio,https://github.com/topics/bitcoin/lbryio/lbry-sdk
9,lightningnetwork,https://github.com/topics/bitcoin/lightningnetwork/lnd
10,yeasy,https://github.com/topics/bitcoin/yeasy/blockchain_guide
11,spesmilo,https://github.com/topics/bitcoin/spesmilo/electrum
12,butor,https://github.com/topics/bitcoin/butor/blackbird
13,btcsuite,https://github.com/topics/bitcoin/btcsuite/btcd
14,bitcoinjs,https://github.com/topics/bitcoin/bitcoinjs/bitcoinjs-lib
15,btcpayserver,https://github.com/topics/bitcoin/btcpayserver/btcpayserver
16,jesse-ai,https://github.com/topics/bitcoin/jesse-ai/jesse
17,bitcoinj,https://github.com/topics/bitcoin/bitcoinj/bitcoinj
18,CryptoSignal,https://github.com/topics/bitcoin/CryptoSignal/Crypto-Signal
19,bisq-network,https://github.com/topics/bitcoin/bisq-network/bisq
