,Authors,project_urls
0,ccxt,https://github.com/topics/bot/ccxt/ccxt
1,discordjs,https://github.com/topics/bot/discordjs/discord.js
2,python-telegram-bot,https://github.com/topics/bot/python-telegram-bot/python-telegram-bot
3,hubotio,https://github.com/topics/bot/hubotio/hubot
4,RasaHQ,https://github.com/topics/bot/RasaHQ/rasa
5,wechaty,https://github.com/topics/bot/wechaty/wechaty
6,InstaPy,https://github.com/topics/bot/InstaPy/InstaPy
7,gunthercox,https://github.com/topics/bot/gunthercox/ChatterBot
8,tgbot-collection,https://github.com/topics/bot/tgbot-collection/YYeTsBot
9,Rapptz,https://github.com/topics/bot/Rapptz/discord.py
10,leon-ai,https://github.com/topics/bot/leon-ai/leon
11,howdyai,https://github.com/topics/bot/howdyai/botkit
12,botpress,https://github.com/topics/bot/botpress/botpress
13,pedroslopez,https://github.com/topics/bot/pedroslopez/whatsapp-web.js
14,sfyc23,https://github.com/topics/bot/sfyc23/EverydayWechat
15,Mrs4s,https://github.com/topics/bot/Mrs4s/go-cqhttp
16,microsoft,https://github.com/topics/bot/microsoft/ailab
17,microsoft,https://github.com/topics/bot/microsoft/botframework-sdk
18,yagop,https://github.com/topics/bot/yagop/node-telegram-bot-api
19,EZFNDEV,https://github.com/topics/bot/EZFNDEV/EZFN-Lobbybot
