,Authors,project_urls
0,CSSEGISandData,https://github.com/topics/covid-19/CSSEGISandData/COVID-19
1,nytimes,https://github.com/topics/covid-19/nytimes/covid-19-data
2,covid19india,https://github.com/topics/covid-19/covid19india/covid19india-react
3,tokyo-metropolitan-gov,https://github.com/topics/covid-19/tokyo-metropolitan-gov/covid19
4,owid,https://github.com/topics/covid-19/owid/covid-19-data
5,pcm-dpc,https://github.com/topics/covid-19/pcm-dpc/COVID-19
6,ieee8023,https://github.com/topics/covid-19/ieee8023/covid-chestxray-dataset
7,disease-sh,https://github.com/topics/covid-19/disease-sh/API
8,geohot,https://github.com/topics/covid-19/geohot/corona
9,WorldHealthOrganization,https://github.com/topics/covid-19/WorldHealthOrganization/app
10,corona-warn-app,https://github.com/topics/covid-19/corona-warn-app/cwa-server
11,ahmadawais,https://github.com/topics/covid-19/ahmadawais/corona-cli
12,github,https://github.com/topics/covid-19/github/covid19-dashboard
13,ExpDev07,https://github.com/topics/covid-19/ExpDev07/coronavirus-tracker-api
14,soroushchehresa,https://github.com/topics/covid-19/soroushchehresa/awesome-coronavirus
15,mhdhejazi,https://github.com/topics/covid-19/mhdhejazi/CoronaTracker
16,chandrikadeb7,https://github.com/topics/covid-19/chandrikadeb7/Face-Mask-Detection
17,neherlab,https://github.com/topics/covid-19/neherlab/covid19_scenarios
18,chrismattmann,https://github.com/topics/covid-19/chrismattmann/tika-python
19,pomber,https://github.com/topics/covid-19/pomber/covid19
