,Authors,project_urls
0,iamadamdev,https://github.com/topics/chrome-extension/iamadamdev/bypass-paywalls-chrome
1,jaywcjlove,https://github.com/topics/chrome-extension/jaywcjlove/linux-command
2,refined-github,https://github.com/topics/chrome-extension/refined-github/refined-github
3,darkreader,https://github.com/topics/chrome-extension/darkreader/darkreader
4,yetone,https://github.com/topics/chrome-extension/yetone/openai-translator
5,checkly,https://github.com/topics/chrome-extension/checkly/headless-recorder
6,unbug,https://github.com/topics/chrome-extension/unbug/codelf
7,wong2,https://github.com/topics/chrome-extension/wong2/chatgpt-google-extension
8,dailydotdev,https://github.com/topics/chrome-extension/dailydotdev/daily
9,Anarios,https://github.com/topics/chrome-extension/Anarios/return-youtube-dislike
10,gildas-lormeau,https://github.com/topics/chrome-extension/gildas-lormeau/SingleFile
11,crimx,https://github.com/topics/chrome-extension/crimx/ext-saladict
12,listen1,https://github.com/topics/chrome-extension/listen1/listen1_chrome_extension
13,alyssaxuu,https://github.com/topics/chrome-extension/alyssaxuu/screenity
14,appbaseio,https://github.com/topics/chrome-extension/appbaseio/dejavu
15,Kenshin,https://github.com/topics/chrome-extension/Kenshin/simpread
16,josStorer,https://github.com/topics/chrome-extension/josStorer/chatGPTBox
17,ajayyy,https://github.com/topics/chrome-extension/ajayyy/SponsorBlock
18,AutomaApp,https://github.com/topics/chrome-extension/AutomaApp/automa
19,alyssaxuu,https://github.com/topics/chrome-extension/alyssaxuu/omni
