,Authors,project_urls
0,electron,https://github.com/topics/chrome/electron/electron
1,puppeteer,https://github.com/topics/chrome/puppeteer/puppeteer
2,microsoft,https://github.com/topics/chrome/microsoft/playwright
3,FiloSottile,https://github.com/topics/chrome/FiloSottile/mkcert
4,iamadamdev,https://github.com/topics/chrome/iamadamdev/bypass-paywalls-chrome
5,jaywcjlove,https://github.com/topics/chrome/jaywcjlove/linux-command
6,ovity,https://github.com/topics/chrome/ovity/octotree
7,segmentio,https://github.com/topics/chrome/segmentio/nightmare
8,checkly,https://github.com/topics/chrome/checkly/headless-recorder
9,google,https://github.com/topics/chrome/google/WebFundamentals
10,prisma-archive,https://github.com/topics/chrome/prisma-archive/chromeless
11,GoogleChrome,https://github.com/topics/chrome/GoogleChrome/chrome-extensions-samples
12,casesandberg,https://github.com/topics/chrome/casesandberg/react-color
13,gildas-lormeau,https://github.com/topics/chrome/gildas-lormeau/SingleFile
14,crimx,https://github.com/topics/chrome/crimx/ext-saladict
15,MetaMask,https://github.com/topics/chrome/MetaMask/metamask-extension
16,chromedp,https://github.com/topics/chrome/chromedp/chromedp
17,uBlock-LLC,https://github.com/topics/chrome/uBlock-LLC/uBlock
18,moonD4rk,https://github.com/topics/chrome/moonD4rk/HackBrowserData
19,Kenshin,https://github.com/topics/chrome/Kenshin/simpread
