,Authors,project_urls
0,metabase,https://github.com/topics/clojure/metabase/metabase
1,logseq,https://github.com/topics/clojure/logseq/logseq
2,penpot,https://github.com/topics/clojure/penpot/penpot
3,deeplearning4j,https://github.com/topics/clojure/deeplearning4j/deeplearning4j
4,LightTable,https://github.com/topics/clojure/LightTable/LightTable
5,kanaka,https://github.com/topics/clojure/kanaka/mal
6,lk-geimfari,https://github.com/topics/clojure/lk-geimfari/awesomo
7,tonsky,https://github.com/topics/clojure/tonsky/datascript
8,reagent-project,https://github.com/topics/clojure/reagent-project/reagent
9,riemann,https://github.com/topics/clojure/riemann/riemann
10,weavejester,https://github.com/topics/clojure/weavejester/compojure
11,izhangzhihao,https://github.com/topics/clojure/izhangzhihao/intellij-rainbow-brackets
12,bbatsov,https://github.com/topics/clojure/bbatsov/clojure-style-guide
13,status-im,https://github.com/topics/clojure/status-im/status-mobile
14,ring-clojure,https://github.com/topics/clojure/ring-clojure/ring
15,clojure-emacs,https://github.com/topics/clojure/clojure-emacs/cider
16,babashka,https://github.com/topics/clojure/babashka/babashka
17,viebel,https://github.com/topics/clojure/viebel/klipse
18,tallesl,https://github.com/topics/clojure/tallesl/Rich-Hickey-fanclub
19,bhauman,https://github.com/topics/clojure/bhauman/lein-figwheel
