,Authors,project_urls
0,realm,https://github.com/topics/code-quality/realm/SwiftLint
1,facebook,https://github.com/topics/code-quality/facebook/infer
2,analysis-tools-dev,https://github.com/topics/code-quality/analysis-tools-dev/static-analysis
3,Kristories,https://github.com/topics/code-quality/Kristories/awesome-guidelines
4,checkstyle,https://github.com/topics/code-quality/checkstyle/checkstyle
5,SonarSource,https://github.com/topics/code-quality/SonarSource/sonarqube
6,facebook,https://github.com/topics/code-quality/facebook/pyre-check
7,reviewdog,https://github.com/topics/code-quality/reviewdog/reviewdog
8,detekt,https://github.com/topics/code-quality/detekt/detekt
9,import-js,https://github.com/topics/code-quality/import-js/eslint-plugin-import
10,pylint-dev,https://github.com/topics/code-quality/pylint-dev/pylint
11,simplecov-ruby,https://github.com/topics/code-quality/simplecov-ruby/simplecov
12,pmd,https://github.com/topics/code-quality/pmd/pmd
13,trekhleb,https://github.com/topics/code-quality/trekhleb/state-of-the-art-shitcode
14,phpro,https://github.com/topics/code-quality/phpro/grumphp
15,kucherenko,https://github.com/topics/code-quality/kucherenko/jscpd
16,htmlhint,https://github.com/topics/code-quality/htmlhint/HTMLHint
17,codeclimate,https://github.com/topics/code-quality/codeclimate/codeclimate
18,wemake-services,https://github.com/topics/code-quality/wemake-services/wemake-python-styleguide
19,uber,https://github.com/topics/code-quality/uber/piranha
