,Authors,project_urls
0,ohmyzsh,https://github.com/topics/cli/ohmyzsh/ohmyzsh
1,junegunn,https://github.com/topics/cli/junegunn/fzf
2,sharkdp,https://github.com/topics/cli/sharkdp/bat
3,sherlock-project,https://github.com/topics/cli/sherlock-project/sherlock
4,BurntSushi,https://github.com/topics/cli/BurntSushi/ripgrep
5,google,https://github.com/topics/cli/google/zx
6,wagoodman,https://github.com/topics/cli/wagoodman/dive
7,chubin,https://github.com/topics/cli/chubin/cheat.sh
8,jesseduffield,https://github.com/topics/cli/jesseduffield/lazygit
9,cli,https://github.com/topics/cli/cli/cli
10,spf13,https://github.com/topics/cli/spf13/cobra
11,n8n-io,https://github.com/topics/cli/n8n-io/n8n
12,httpie,https://github.com/topics/cli/httpie/httpie
13,alebcay,https://github.com/topics/cli/alebcay/awesome-shell
14,sharkdp,https://github.com/topics/cli/sharkdp/fd
15,ibraheemdev,https://github.com/topics/cli/ibraheemdev/modern-unix
16,angular,https://github.com/topics/cli/angular/angular-cli
17,acheong08,https://github.com/topics/cli/acheong08/ChatGPT
18,tqdm,https://github.com/topics/cli/tqdm/tqdm
19,google,https://github.com/topics/cli/google/python-fire
