,Authors,project_urls
0,vercel,https://github.com/topics/compiler/vercel/next.js
1,rust-lang,https://github.com/topics/compiler/rust-lang/rust
2,sveltejs,https://github.com/topics/compiler/sveltejs/svelte
3,webpack,https://github.com/topics/compiler/webpack/webpack
4,gatsbyjs,https://github.com/topics/compiler/gatsbyjs/gatsby
5,JetBrains,https://github.com/topics/compiler/JetBrains/kotlin
6,parcel-bundler,https://github.com/topics/compiler/parcel-bundler/parcel
7,babel,https://github.com/topics/compiler/babel/babel
8,evanw,https://github.com/topics/compiler/evanw/esbuild
9,vlang,https://github.com/topics/compiler/vlang/v
10,carbon-language,https://github.com/topics/compiler/carbon-language/carbon-lang
11,markedjs,https://github.com/topics/compiler/markedjs/marked
12,swc-project,https://github.com/topics/compiler/swc-project/swc
13,vercel,https://github.com/topics/compiler/vercel/pkg
14,ziglang,https://github.com/topics/compiler/ziglang/zig
15,v8,https://github.com/topics/compiler/v8/v8
16,typst,https://github.com/topics/compiler/typst/typst
17,AssemblyScript,https://github.com/topics/compiler/AssemblyScript/assemblyscript
18,nim-lang,https://github.com/topics/compiler/nim-lang/Nim
19,RustPython,https://github.com/topics/compiler/RustPython/RustPython
